[2021-07-26 10:57:04,250] A: 00001.jpg, B: 00001.jpg | MSE | 50.2822125 | PSNR | 31.116659817624857 | SSMI | 0.917575764153 | Delta_E | 2.44881438334
[2021-07-26 10:57:09,826] A: 00036.jpg, B: 00036.jpg | MSE | 33.6335083333 | PSNR | 32.86308189647889 | SSMI | 0.947030764486 | Delta_E | 2.07470667694
[2021-07-26 10:57:10,011] A: 00037.jpg, B: 00037.jpg | MSE | 37.5093041667 | PSNR | 32.3894135321892 | SSMI | 0.942482798159 | Delta_E | 2.42212861265
[2021-07-26 10:57:10,191] A: 00038.jpg, B: 00038.jpg | MSE | 39.7030520833 | PSNR | 32.14256467404515 | SSMI | 0.941817398909 | Delta_E | 2.53427752462
[2021-07-26 10:57:10,341] A: 00039.jpg, B: 00039.jpg | MSE | 56.4946520833 | PSNR | 30.61073022440057 | SSMI | 0.939142533623 | Delta_E | 2.62308486714
[2021-07-26 10:57:10,483] A: 00040.jpg, B: 00040.jpg | MSE | 46.3865208333 | PSNR | 31.46688560876598 | SSMI | 0.937673360485 | Delta_E | 2.52992939911
[2021-07-26 10:57:10,623] A: 00041.jpg, B: 00041.jpg | MSE | 29.253925 | PSNR | 33.46896217236622 | SSMI | 0.944795782535 | Delta_E | 2.14754929941
[2021-07-26 10:57:10,763] A: 00042.jpg, B: 00042.jpg | MSE | 30.3451895833 | PSNR | 33.30990505752964 | SSMI | 0.946804906257 | Delta_E | 2.18716247756
[2021-07-26 10:57:10,923] A: 00043.jpg, B: 00043.jpg | MSE | 35.6805229167 | PSNR | 32.606491503051174 | SSMI | 0.932404048572 | Delta_E | 2.69590655454
[2021-07-26 10:57:11,105] A: 00044.jpg, B: 00044.jpg | MSE | 35.2863958333 | PSNR | 32.65473059255776 | SSMI | 0.932388618583 | Delta_E | 2.71207842015
[2021-07-26 10:57:11,279] A: 00045.jpg, B: 00045.jpg | MSE | 50.7551208333 | PSNR | 31.07600494825217 | SSMI | 0.934481795324 | Delta_E | 2.83362855732
[2021-07-26 10:57:11,433] A: 00046.jpg, B: 00046.jpg | MSE | 45.27088125 | PSNR | 31.572614122465904 | SSMI | 0.93862493009 | Delta_E | 2.51843855249
[2021-07-26 10:57:11,589] A: 00047.jpg, B: 00047.jpg | MSE | 26.54093125 | PSNR | 33.89164203845112 | SSMI | 0.936455795055 | Delta_E | 2.29207735288
[2021-07-26 10:57:11,733] A: 00048.jpg, B: 00048.jpg | MSE | 36.7963604167 | PSNR | 32.47275496790257 | SSMI | 0.941207294906 | Delta_E | 2.33565886346
[2021-07-26 10:57:11,898] A: 00049.jpg, B: 00049.jpg | MSE | 36.669125 | PSNR | 32.487798139344555 | SSMI | 0.937158797855 | Delta_E | 2.52757480149
[2021-07-26 10:57:12,087] A: 00050.jpg, B: 00050.jpg | MSE | 47.1019395833 | PSNR | 31.400415698113008 | SSMI | 0.933125208191 | Delta_E | 2.90034143423
[2021-07-26 10:57:12,264] A: 00051.jpg, B: 00051.jpg | MSE | 56.2726625 | PSNR | 30.627828969010036 | SSMI | 0.924329858989 | Delta_E | 3.31388852681
[2021-07-26 10:57:12,409] A: 00052.jpg, B: 00052.jpg | MSE | 55.4682979167 | PSNR | 30.690355214131024 | SSMI | 0.915169082343 | Delta_E | 3.52726917453
[2021-07-26 10:57:12,558] A: 00053.jpg, B: 00053.jpg | MSE | 219.514672917 | PSNR | 24.716168059764925 | SSMI | 0.852157200402 | Delta_E | 8.16061299253
[2021-07-26 10:57:12,700] A: 00054.jpg, B: 00054.jpg | MSE | 109.922545833 | PSNR | 27.719935826684015 | SSMI | 0.909451983341 | Delta_E | 5.34956629872
[2021-07-26 10:57:12,854] A: 00055.jpg, B: 00055.jpg | MSE | 146.970877083 | PSNR | 26.458490749295493 | SSMI | 0.859967895277 | Delta_E | 5.06564117267
[2021-07-26 10:57:13,040] A: 00056.jpg, B: 00056.jpg | MSE | 278.099164583 | PSNR | 23.68880676632997 | SSMI | 0.857619208796 | Delta_E | 9.10371526124
[2021-07-26 10:57:13,222] A: 00057.jpg, B: 00057.jpg | MSE | 96.3688729167 | PSNR | 28.29143581150751 | SSMI | 0.916584336498 | Delta_E | 4.96083202476
[2021-07-26 10:57:13,376] A: 00058.jpg, B: 00058.jpg | MSE | 138.767985417 | PSNR | 26.707910774623137 | SSMI | 0.857653885744 | Delta_E | 5.02128289728
[2021-07-26 10:57:13,526] A: 00059.jpg, B: 00059.jpg | MSE | 100.093879167 | PSNR | 28.126728400860614 | SSMI | 0.864041112219 | Delta_E | 4.44142380213
[2021-07-26 10:57:13,670] A: 00060.jpg, B: 00060.jpg | MSE | 82.2820583333 | PSNR | 28.97775213581399 | SSMI | 0.915666804123 | Delta_E | 4.61431754293
[2021-07-26 10:57:13,813] A: 00061.jpg, B: 00061.jpg | MSE | 64.40775625 | PSNR | 30.041421908102265 | SSMI | 0.930349885688 | Delta_E | 3.4866621768
[2021-07-26 10:57:14,000] A: 00062.jpg, B: 00062.jpg | MSE | 53.1812 | PSNR | 30.873222281826575 | SSMI | 0.895396208657 | Delta_E | 3.18348903671
[2021-07-26 10:57:14,181] A: 00063.jpg, B: 00063.jpg | MSE | 126.116516667 | PSNR | 27.123083938232572 | SSMI | 0.859322976695 | Delta_E | 4.5577188965
[2021-07-26 10:57:14,336] A: 00064.jpg, B: 00064.jpg | MSE | 97.482175 | PSNR | 28.24155150367941 | SSMI | 0.919504732732 | Delta_E | 4.31444991443
[2021-07-26 10:57:14,486] A: 00065.jpg, B: 00065.jpg | MSE | 70.6429916667 | PSNR | 29.640112779312787 | SSMI | 0.929019596731 | Delta_E | 3.75405505956
[2021-07-26 10:57:14,633] A: 00066.jpg, B: 00066.jpg | MSE | 66.5964125 | PSNR | 29.896295261933762 | SSMI | 0.925445681677 | Delta_E | 3.58225522807
[2021-07-26 10:57:14,780] A: 00067.jpg, B: 00067.jpg | MSE | 132.45915625 | PSNR | 26.90998376555472 | SSMI | 0.857953959765 | Delta_E | 5.42678712197
[2021-07-26 10:57:14,956] A: 00068.jpg, B: 00068.jpg | MSE | 95.1868458333 | PSNR | 28.345034248438644 | SSMI | 0.923635586051 | Delta_E | 4.69117919016
[2021-07-26 10:57:15,147] A: 00069.jpg, B: 00069.jpg | MSE | 78.0882041667 | PSNR | 29.20494925610726 | SSMI | 0.928841142104 | Delta_E | 3.71242308878
[2021-07-26 10:57:15,318] A: 00070.jpg, B: 00070.jpg | MSE | 45.4727395833 | PSNR | 31.553292410572755 | SSMI | 0.913224231547 | Delta_E | 2.74994497558
[2021-07-26 10:57:15,472] A: 00071.jpg, B: 00071.jpg | MSE | 32.0882083333 | PSNR | 33.067348922195706 | SSMI | 0.926782309236 | Delta_E | 2.28106718758
[2021-07-26 10:57:15,615] A: 00072.jpg, B: 00072.jpg | MSE | 31.6322333333 | PSNR | 33.12950505338458 | SSMI | 0.925700842471 | Delta_E | 2.29312634505
[2021-07-26 10:57:15,761] A: 00073.jpg, B: 00073.jpg | MSE | 31.3074083333 | PSNR | 33.174332432068574 | SSMI | 0.928277486253 | Delta_E | 2.25660783883
[2021-07-26 10:57:15,930] A: 00074.jpg, B: 00074.jpg | MSE | 28.28405 | PSNR | 33.61538764557845 | SSMI | 0.929559375857 | Delta_E | 2.22521651354
[2021-07-26 10:57:16,113] A: 00075.jpg, B: 00075.jpg | MSE | 31.2025708333 | PSNR | 33.18889983107987 | SSMI | 0.922653727864 | Delta_E | 2.40465764175
[2021-07-26 10:57:16,280] A: 00076.jpg, B: 00076.jpg | MSE | 43.3639479167 | PSNR | 31.759515467385707 | SSMI | 0.895873589093 | Delta_E | 2.22197912611
[2021-07-26 10:57:16,427] A: 00077.jpg, B: 00077.jpg | MSE | 35.557875 | PSNR | 32.62144561982271 | SSMI | 0.914488230581 | Delta_E | 2.34162178456
[2021-07-26 10:57:16,572] A: 00078.jpg, B: 00078.jpg | MSE | 33.1252145833 | PSNR | 32.92921660577968 | SSMI | 0.922643849225 | Delta_E | 2.17608224373
[2021-07-26 10:57:16,716] A: 00079.jpg, B: 00079.jpg | MSE | 32.6051583333 | PSNR | 32.997940473495504 | SSMI | 0.924331635148 | Delta_E | 2.24900334933
[2021-07-26 10:57:16,872] A: 00080.jpg, B: 00080.jpg | MSE | 18.8993625 | PSNR | 35.366332057635354 | SSMI | 0.930883391809 | Delta_E | 1.36889232279
[2021-07-26 10:57:17,058] A: 00081.jpg, B: 00081.jpg | MSE | 27.84255625 | PSNR | 33.68371255133941 | SSMI | 0.926327675208 | Delta_E | 1.96569725742
[2021-07-26 10:57:17,246] A: 00082.jpg, B: 00082.jpg | MSE | 41.7602916667 | PSNR | 31.923168376174416 | SSMI | 0.901828206511 | Delta_E | 2.22017455497
[2021-07-26 10:57:17,400] A: 00083.jpg, B: 00083.jpg | MSE | 32.5964041667 | PSNR | 32.99910666833933 | SSMI | 0.925476022599 | Delta_E | 2.10263884027
[2021-07-26 10:57:17,548] A: 00084.jpg, B: 00084.jpg | MSE | 26.5232375 | PSNR | 33.89453826709466 | SSMI | 0.928899929202 | Delta_E | 1.88615451547
[2021-07-26 10:57:17,688] A: 00085.jpg, B: 00085.jpg | MSE | 22.7829333333 | PSNR | 34.554707215257686 | SSMI | 0.937152100242 | Delta_E | 1.88439269369
[2021-07-26 10:57:17,831] A: 00086.jpg, B: 00086.jpg | MSE | 26.416125 | PSNR | 33.91211249880983 | SSMI | 0.932807594455 | Delta_E | 2.11013740619
[2021-07-26 10:57:18,017] A: 00087.jpg, B: 00087.jpg | MSE | 16.76778125 | PSNR | 35.88604761269049 | SSMI | 0.936732064318 | Delta_E | 1.2907850685
[2021-07-26 10:57:18,202] A: 00088.jpg, B: 00088.jpg | MSE | 43.4657333333 | PSNR | 31.749333496334273 | SSMI | 0.906156536992 | Delta_E | 2.25484922806
[2021-07-26 10:57:18,349] A: 00089.jpg, B: 00089.jpg | MSE | 28.7818083333 | PSNR | 33.53962284105537 | SSMI | 0.928103481378 | Delta_E | 1.77923501781
[2021-07-26 10:57:18,489] A: 00090.jpg, B: 00090.jpg | MSE | 24.8489229167 | PSNR | 34.17772792003224 | SSMI | 0.935889481373 | Delta_E | 1.62049673213
[2021-07-26 10:57:18,630] A: 00091.jpg, B: 00091.jpg | MSE | 16.9106083333 | PSNR | 35.84921129907794 | SSMI | 0.93782192059 | Delta_E | 1.26736452598
[2021-07-26 10:57:18,769] A: 00092.jpg, B: 00092.jpg | MSE | 21.78175 | PSNR | 34.74987591746972 | SSMI | 0.938992331152 | Delta_E | 1.72454837593
[2021-07-26 10:57:18,935] A: 00093.jpg, B: 00093.jpg | MSE | 24.9923875 | PSNR | 34.15272615003647 | SSMI | 0.936342920066 | Delta_E | 1.84622203996
[2021-07-26 10:57:19,115] A: 00094.jpg, B: 00094.jpg | MSE | 45.1107395833 | PSNR | 31.588004135235238 | SSMI | 0.911156050782 | Delta_E | 2.1056580102
[2021-07-26 10:57:19,289] A: 00095.jpg, B: 00095.jpg | MSE | 19.4580958333 | PSNR | 35.23980022856347 | SSMI | 0.92545218389 | Delta_E | 1.35593957765
[2021-07-26 10:57:19,430] A: 00096.jpg, B: 00096.jpg | MSE | 17.0858729167 | PSNR | 35.804431890759936 | SSMI | 0.939829882617 | Delta_E | 1.37845323748
[2021-07-26 10:57:19,588] A: 00097.jpg, B: 00097.jpg | MSE | 33.7448104167 | PSNR | 32.848733683142484 | SSMI | 0.926389483478 | Delta_E | 2.51235870187
[2021-07-26 10:57:19,741] A: 00098.jpg, B: 00098.jpg | MSE | 42.40500625 | PSNR | 31.856632293127976 | SSMI | 0.928318220557 | Delta_E | 2.20964235518
[2021-07-26 10:57:19,903] A: 00099.jpg, B: 00099.jpg | MSE | 26.9966375 | PSNR | 33.8177068582502 | SSMI | 0.936783234272 | Delta_E | 2.00290284953
[2021-07-26 10:57:20,090] A: 00100.jpg, B: 00100.jpg | MSE | 47.1926770833 | PSNR | 31.392057467472068 | SSMI | 0.940640003271 | Delta_E | 3.17820604744
[2021-07-26 10:57:20,262] A: 00101.jpg, B: 00101.jpg | MSE | 16.7545895833 | PSNR | 35.88946566946496 | SSMI | 0.934706416468 | Delta_E | 1.22539475609
[2021-07-26 10:57:20,408] A: 00102.jpg, B: 00102.jpg | MSE | 19.518325 | PSNR | 35.22637815696547 | SSMI | 0.944525068574 | Delta_E | 1.41123663361
[2021-07-26 10:57:20,552] A: 00103.jpg, B: 00103.jpg | MSE | 15.93899375 | PSNR | 36.106194605340775 | SSMI | 0.94712996107 | Delta_E | 1.24860478707
[2021-07-26 10:57:20,698] A: 00104.jpg, B: 00104.jpg | MSE | 42.9276291667 | PSNR | 31.803434572071634 | SSMI | 0.943659119025 | Delta_E | 3.32366231067
[2021-07-26 10:57:20,847] A: 00105.jpg, B: 00105.jpg | MSE | 22.6954916667 | PSNR | 34.57140765293455 | SSMI | 0.938324453132 | Delta_E | 1.54126773711
[2021-07-26 10:57:21,036] A: 00106.jpg, B: 00106.jpg | MSE | 8.95885208333 | PSNR | 38.60827994711561 | SSMI | 0.951835165199 | Delta_E | 0.866647218581
[2021-07-26 10:57:21,266] A: 00107.jpg, B: 00107.jpg | MSE | 17.3589041667 | PSNR | 35.73558055314949 | SSMI | 0.950788191778 | Delta_E | 1.26515477806
[2021-07-26 10:57:21,440] A: 00108.jpg, B: 00108.jpg | MSE | 45.8354625 | PSNR | 31.518787429371358 | SSMI | 0.940922764102 | Delta_E | 3.55176291676
[2021-07-26 10:57:21,607] A: 00109.jpg, B: 00109.jpg | MSE | 18.46613125 | PSNR | 35.46704442837925 | SSMI | 0.929559815967 | Delta_E | 1.31590508639
[2021-07-26 10:57:21,766] A: 00110.jpg, B: 00110.jpg | MSE | 17.1626916667 | PSNR | 35.78494960554001 | SSMI | 0.95135490967 | Delta_E | 1.24153567876
[2021-07-26 10:57:21,984] A: 00111.jpg, B: 00111.jpg | MSE | 13.4767145833 | PSNR | 36.83496330110421 | SSMI | 0.954303392818 | Delta_E | 1.15767495979
[2021-07-26 10:57:22,215] A: 00112.jpg, B: 00112.jpg | MSE | 70.0299895833 | PSNR | 29.67796299119393 | SSMI | 0.939745121893 | Delta_E | 3.70936663334
[2021-07-26 10:57:22,382] A: 00113.jpg, B: 00113.jpg | MSE | 16.2570458333 | PSNR | 36.02038730731865 | SSMI | 0.941434592055 | Delta_E | 1.20015691864
[2021-07-26 10:57:22,542] A: 00114.jpg, B: 00114.jpg | MSE | 13.6140145833 | PSNR | 36.790941493828036 | SSMI | 0.946447203287 | Delta_E | 1.08142364506
[2021-07-26 10:57:22,701] A: 00115.jpg, B: 00115.jpg | MSE | 8.86763541667 | PSNR | 38.65272531610928 | SSMI | 0.962267237829 | Delta_E | 0.86149869848
[2021-07-26 10:57:22,870] A: 00116.jpg, B: 00116.jpg | MSE | 28.6069958333 | PSNR | 33.56608108148628 | SSMI | 0.930376006894 | Delta_E | 2.32029133416
[2021-07-26 10:57:23,074] A: 00117.jpg, B: 00117.jpg | MSE | 20.0065583333 | PSNR | 35.11907976149668 | SSMI | 0.939400312088 | Delta_E | 2.60370363408
[2021-07-26 10:57:23,275] A: 00118.jpg, B: 00118.jpg | MSE | 32.4576354167 | PSNR | 33.017634831749625 | SSMI | 0.941143320562 | Delta_E | 3.22857971212
[2021-07-26 10:57:23,435] A: 00119.jpg, B: 00119.jpg | MSE | 21.3503708333 | PSNR | 34.836749382060844 | SSMI | 0.942199433211 | Delta_E | 1.46580697142
[2021-07-26 10:57:23,595] A: 00120.jpg, B: 00120.jpg | MSE | 12.5226208333 | PSNR | 37.153851298897315 | SSMI | 0.946872548841 | Delta_E | 1.13024110723
[2021-07-26 10:57:23,743] A: 00121.jpg, B: 00121.jpg | MSE | 19.4379625 | PSNR | 35.24429620924869 | SSMI | 0.943768734137 | Delta_E | 1.35120263311
[2021-07-26 10:57:23,919] A: 00122.jpg, B: 00122.jpg | MSE | 12.80764375 | PSNR | 37.05611121872417 | SSMI | 0.946454831173 | Delta_E | 1.16702896571
[2021-07-26 10:57:24,109] A: 00123.jpg, B: 00123.jpg | MSE | 12.73723125 | PSNR | 37.08005327180088 | SSMI | 0.945918856561 | Delta_E | 1.15163953497
[2021-07-26 10:57:24,284] A: 00124.jpg, B: 00124.jpg | MSE | 14.15615 | PSNR | 36.6213520504971 | SSMI | 0.940295047842 | Delta_E | 1.32640352986
[2021-07-26 10:57:24,432] A: 00125.jpg, B: 00125.jpg | MSE | 15.7911145833 | PSNR | 36.14667575995285 | SSMI | 0.954786681869 | Delta_E | 1.49963556586
[2021-07-26 10:57:24,580] A: 00126.jpg, B: 00126.jpg | MSE | 19.9311104167 | PSNR | 35.13548865760146 | SSMI | 0.946007100758 | Delta_E | 1.6879855486
[2021-07-26 10:57:24,730] A: 00127.jpg, B: 00127.jpg | MSE | 13.9956458333 | PSNR | 36.670874169523785 | SSMI | 0.948262412143 | Delta_E | 1.35242362148
[2021-07-26 10:57:24,892] A: 00128.jpg, B: 00128.jpg | MSE | 14.0030104167 | PSNR | 36.668589489896036 | SSMI | 0.953629326978 | Delta_E | 1.39417560972
[2021-07-26 10:57:25,077] A: 00129.jpg, B: 00129.jpg | MSE | 18.925325 | PSNR | 35.36037014598327 | SSMI | 0.946048546518 | Delta_E | 1.63679400233
[2021-07-26 10:57:25,266] A: 00130.jpg, B: 00130.jpg | MSE | 19.2634895833 | PSNR | 35.283453984578784 | SSMI | 0.939434256907 | Delta_E | 1.62561581316
[2021-07-26 10:57:25,430] A: 00131.jpg, B: 00131.jpg | MSE | 11.86308125 | PSNR | 37.388828559819125 | SSMI | 0.948415455387 | Delta_E | 1.10722440438
[2021-07-26 10:57:25,595] A: 00132.jpg, B: 00132.jpg | MSE | 13.0625104167 | PSNR | 36.97053711085581 | SSMI | 0.946565423545 | Delta_E | 1.13773500147
[2021-07-26 10:57:25,741] A: 00133.jpg, B: 00133.jpg | MSE | 14.8611895833 | PSNR | 36.41026786382806 | SSMI | 0.94987889772 | Delta_E | 1.12321823156
[2021-07-26 10:57:25,913] A: 00134.jpg, B: 00134.jpg | MSE | 11.6650791667 | PSNR | 37.46192670328811 | SSMI | 0.951535454885 | Delta_E | 1.08112387435
[2021-07-26 10:57:26,104] A: 00135.jpg, B: 00135.jpg | MSE | 10.4866645833 | PSNR | 37.92442983579414 | SSMI | 0.951473675868 | Delta_E | 1.05125546327
[2021-07-26 10:57:26,284] A: 00136.jpg, B: 00136.jpg | MSE | 9.47794166667 | PSNR | 38.36366329423154 | SSMI | 0.951668250502 | Delta_E | 1.01278735121
[2021-07-26 10:57:26,432] A: 00137.jpg, B: 00137.jpg | MSE | 12.77449375 | PSNR | 37.067366627020945 | SSMI | 0.947860600835 | Delta_E | 1.14271435309
[2021-07-26 10:57:26,585] A: 00138.jpg, B: 00138.jpg | MSE | 12.20673125 | PSNR | 37.264809778520075 | SSMI | 0.950091051316 | Delta_E | 1.10487234409
[2021-07-26 10:57:26,729] A: 00139.jpg, B: 00139.jpg | MSE | 14.5461895833 | PSNR | 36.50331117350701 | SSMI | 0.949794263168 | Delta_E | 1.12678490048
[2021-07-26 10:57:26,896] A: 00140.jpg, B: 00140.jpg | MSE | 11.6952291667 | PSNR | 37.45071624689078 | SSMI | 0.951946596463 | Delta_E | 1.0589009658
[2021-07-26 10:57:27,088] A: 00141.jpg, B: 00141.jpg | MSE | 10.60301875 | PSNR | 37.87650831469126 | SSMI | 0.953481882471 | Delta_E | 1.03686861444
[2021-07-26 10:57:27,278] A: 00142.jpg, B: 00142.jpg | MSE | 9.72492083333 | PSNR | 38.25194286272368 | SSMI | 0.952032615787 | Delta_E | 1.01179161623
[2021-07-26 10:57:27,427] A: 00143.jpg, B: 00143.jpg | MSE | 14.5001104167 | PSNR | 36.51709051518007 | SSMI | 0.95079423973 | Delta_E | 1.16231952158
[2021-07-26 10:57:27,583] A: 00144.jpg, B: 00144.jpg | MSE | 13.1965729167 | PSNR | 36.926191991032866 | SSMI | 0.950113795209 | Delta_E | 1.12854636441
[2021-07-26 10:57:27,740] A: 00145.jpg, B: 00145.jpg | MSE | 13.8752520833 | PSNR | 36.7083947880969 | SSMI | 0.950725755477 | Delta_E | 1.11625152789
[2021-07-26 10:57:27,915] A: 00146.jpg, B: 00146.jpg | MSE | 9.76946875 | PSNR | 38.2320941283148 | SSMI | 0.95323260999 | Delta_E | 1.01628399013
[2021-07-26 10:57:28,116] A: 00147.jpg, B: 00147.jpg | MSE | 9.80955833333 | PSNR | 38.214309067717764 | SSMI | 0.95613512408 | Delta_E | 0.976131222649
[2021-07-26 10:57:28,283] A: 00148.jpg, B: 00148.jpg | MSE | 10.69761875 | PSNR | 37.837932447553165 | SSMI | 0.95251628134 | Delta_E | 1.04203180656
[2021-07-26 10:57:28,438] A: 00149.jpg, B: 00149.jpg | MSE | 43.8378041667 | PSNR | 31.712315686348298 | SSMI | 0.907154454406 | Delta_E | 2.6582758963
[2021-07-26 10:57:28,595] A: 00150.jpg, B: 00150.jpg | MSE | 25.0434895833 | PSNR | 34.14385517112472 | SSMI | 0.918098231721 | Delta_E | 1.68232082036
[2021-07-26 10:57:28,753] A: 00151.jpg, B: 00151.jpg | MSE | 33.19996875 | PSNR | 32.91942685950288 | SSMI | 0.915529616863 | Delta_E | 1.91362267866
